ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13762411,JJ165971,03/01/2025 12:00:00 AM,062XX S WOLCOTT AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0714,007,16,67,26,1164757,1863378,2025,03/08/2025 03:41:07 PM,41.780715449,-87.671516487,POINT (-87.671516487 41.780715449)
13762750,JJ166235,03/01/2025 12:00:00 AM,023XX N MILWAUKEE AVE,0810,THEFT,OVER $500,BAR OR TAVERN,false,false,1414,014,1,22,06,1156766,1915591,2025,03/08/2025 03:41:07 PM,41.924158759,-87.699399996,POINT (-87.699399996 41.924158759)
13763214,JJ166886,03/01/2025 12:00:00 AM,063XX S RACINE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA TRAIN,false,false,0724,007,16,67,14,1169405,1862845,2025,03/08/2025 03:41:07 PM,41.779153403,-87.65449147,POINT (-87.65449147 41.779153403)
13774510,JJ179863,03/01/2025 12:00:00 AM,071XX S MERRILL AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,false,true,0333,003,5,43,02,1191789,1858160,2025,03/16/2025 03:40:54 PM,41.765783207,-87.57258256,POINT (-87.57258256 41.765783207)
13762233,JJ165741,03/01/2025 12:00:00 AM,084XX S BURNHAM AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0423,004,7,46,07,1196289,1849649,2025,03/08/2025 03:41:07 PM,41.742317999,-87.556370619,POINT (-87.556370619 41.742317999)
13762488,JJ165706,03/01/2025 12:00:00 AM,095XX S FOREST AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,0511,005,9,49,08B,1179931,1841808,2025,03/08/2025 03:41:07 PM,41.721190999,-87.616544872,POINT (-87.616544872 41.721190999)
13765759,JJ169887,03/01/2025 12:00:00 AM,130XX S BRANDON AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,false,false,0433,004,10,55,07,1199426,1819141,2025,03/08/2025 03:41:07 PM,41.658522945,-87.54589893,POINT (-87.54589893 41.658522945)
13787012,JJ195459,03/01/2025 12:00:00 AM,048XX N SPRINGFIELD AVE,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,false,true,1712,017,33,14,02,1149521,1931651,2025,03/28/2025 03:40:40 PM,41.968372565,-87.725602842,POINT (-87.725602842 41.968372565)
13778866,JJ185749,03/01/2025 12:00:00 AM,073XX S KINGSTON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,0334,003,7,43,26,1194243,1856670,2025,03/20/2025 03:44:09 PM,41.761634626,-87.563636873,POINT (-87.563636873 41.761634626)
13762346,JJ165743,03/01/2025 12:00:00 AM,071XX S FRANCISCO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0831,008,18,66,14,1158271,1857253,2025,03/08/2025 03:41:07 PM,41.764042074,-87.695462073,POINT (-87.695462073 41.764042074)
